0,1,2,3,4,5,6,7,8,9,10,11,label_list
-247.93137,74.66203,-55.87769,0.95020485,-32.730576,-19.776134,-43.707268,-7.929448,-16.134037,-15.835751,-15.250428,-7.9830794,French horn
-324.1597,159.53246,-65.53733,17.909979,-8.324936,-26.969889,-20.405472,-21.052286,-11.77199,-5.6382875,-15.961899,-4.8053117,French horn
-631.04974,204.92442,37.9602,-17.880314,-9.092821,-10.316689,-20.4523,-11.434575,-3.7784038,-10.561079,-12.656807,-6.8679733,French horn
-301.85092,26.782352,-34.438484,24.676813,-34.444534,-23.717566,-35.753475,-21.69606,-12.302613,-12.539283,-22.503847,-9.0595045,French horn
-457.04163,142.88344,6.1457024,-7.6269026,-33.358997,-28.357088,-11.501135,-21.311787,-14.545595,-8.489993,-19.85744,-6.692938,French horn
-260.5228,86.91975,-56.971767,-1.5003365,-30.594103,-19.642344,-44.536186,-8.853181,-18.892279,-15.198766,-10.360077,-5.9957037,French horn
-339.94806,89.40473,-45.61447,35.228035,-30.912891,-23.902206,-31.561672,-22.90301,-13.030652,-8.788942,-22.316767,-5.1913314,French horn
-333.87802,221.62146,-24.993347,-1.9696777,-3.851427,-17.796537,-22.253334,-23.771181,-6.8150544,-11.888755,-15.066968,-1.3084767,French horn
-404.39938,169.10011,15.186278,24.302095,-8.914125,-13.745042,-5.453675,-14.8956785,-7.690537,-5.0249662,-26.973585,-8.45601,French horn
-434.50888,221.80594,55.492435,34.545223,-13.440298,-19.412128,-12.79221,-13.053922,5.867858,3.9446003,-22.02445,0.97425485,French horn
-453.08624,139.14972,27.412169,0.56591904,-31.446665,-26.217579,-9.9151,-23.340681,-10.200464,-5.3640833,-21.946285,-6.6559925,French horn
-471.14856,202.89697,49.970203,39.846004,-6.8704123,-23.033237,-15.924865,-20.305485,1.9932127,4.8424253,-16.996325,4.8993487,French horn
-412.42728,178.0253,54.922302,41.41035,-10.509225,-19.462006,-15.288137,-20.214413,-0.568656,5.86127,-19.170815,1.3793632,French horn
-449.85806,196.84871,55.57817,30.090254,-5.827459,-10.545303,-3.253662,-11.006033,2.6825452,4.014803,-15.661354,1.476361,French horn
-293.0471,165.48679,-67.309105,22.804094,-10.2648325,-21.087645,-23.153873,-19.456642,-13.306917,-7.4784446,-15.644168,-6.044449,French horn
-334.27734,165.88573,-9.44932,19.883484,-8.870771,-0.46619985,-21.385439,-11.611521,-3.0727694,-11.284953,-22.284676,-7.6752696,French horn
-411.81735,87.935005,-39.240356,-10.626728,-43.091293,-33.717407,-13.950076,-23.262863,-7.6785975,-14.385679,-24.613146,-4.8003945,French horn
-637.1902,176.34009,28.359545,-21.52434,-17.778421,-19.41849,-26.145899,-13.0321865,-2.631268,-11.494089,-15.8391905,-8.598584,French horn
-440.28372,132.55344,8.737906,13.641786,-25.884651,-27.122427,-19.769894,-20.012127,-12.093684,-7.983577,-21.817905,-2.4532077,French horn
-469.33908,188.66887,56.52928,44.50349,-12.222374,-20.743559,-16.280125,-13.447608,2.926444,3.130678,-19.152218,0.31009418,French horn
-469.47873,73.31198,5.5409184,7.0081997,-26.587128,-27.207834,-33.197453,-25.275398,-7.8351693,9.116798,11.268503,25.808916,French horn
-446.39755,214.47398,54.652,35.99464,-9.260851,-16.076683,-15.346397,-24.322315,0.2694216,7.715722,-17.587893,3.1411004,French horn
-470.87112,141.07399,27.576284,-10.840152,-43.493893,-25.112,-5.0848007,-22.013239,-17.680677,-8.560073,-18.11333,-9.181392,French horn
-427.66357,175.1043,46.6891,38.983685,-7.4658155,-21.837198,-11.268366,-19.691732,-1.2232943,0.73899037,-22.13378,3.2823503,French horn
-325.05814,155.66077,-68.52256,23.237598,-10.78654,-22.264822,-22.682438,-19.385,-13.506734,-8.0847,-18.18001,-8.221832,French horn
-433.57318,104.63501,12.033677,-9.385919,-41.608067,-34.032116,-14.783685,-19.497791,-6.1394205,-5.0591154,-12.912874,-0.30926394,French horn
-410.3248,177.32286,2.0151536,22.858364,-9.620363,-14.805655,-5.305972,-18.746105,-11.913002,-11.310907,-27.897507,-5.806901,French horn
-420.8727,227.05632,28.972353,18.77526,-8.9539995,-18.41599,-11.021854,-29.802435,-9.589836,-5.18346,-21.81667,10.889169,French horn
-359.30856,173.37111,-4.042212,16.93653,-3.0279784,-12.49661,-16.055944,-19.948185,-6.709525,-13.380771,-26.017351,-4.2414713,French horn
