0,1,2,3,4,5,6,7,8,9,10,11,label_list
-580.25354,17.790672,-29.287556,24.966799,-5.000899,0.5593185,-16.009758,-3.2813606,4.977539,-9.249996,-22.373775,13.2842455,Violin
-467.99033,17.311428,-20.904697,39.784256,-20.17773,-2.5450246,-14.878523,-2.4378088,-11.340817,1.8445107,-20.753643,1.7790413,Violin
-599.7488,32.835197,-29.363903,33.62889,-7.3395433,5.3843837,-24.784035,-4.018031,6.0845833,-5.6664333,-26.989492,15.246815,Violin
-550.3968,36.882427,-26.300758,47.724922,-21.418724,-4.6411624,-11.067204,-5.091659,-4.0952263,0.9325311,-17.571793,-0.16757022,Violin
-405.95468,20.061628,-38.010456,44.36703,-24.198479,-11.988904,-19.76583,-13.890501,-8.15763,-7.55228,-15.33278,-5.6347575,Violin
-605.5325,53.977516,-36.987774,53.518585,-24.966507,-5.937957,-15.47457,-6.895943,-1.7326671,-8.272211,-8.490464,3.7311687,Violin
-475.8076,-13.642866,1.2917001,22.787773,-0.4386727,-13.8319645,-9.203875,-11.534353,-15.442327,5.527944,8.412696,17.653702,Violin
-636.74506,52.47342,-29.712875,48.9676,-16.482796,-9.681843,-13.933296,-17.738605,-15.632148,1.517386,5.5072875,30.160728,Violin
-447.74188,3.8298612,-17.39432,15.47295,-10.342378,-5.2138367,-0.03796633,-6.5337763,-19.490261,-12.956024,3.74021,11.181117,Violin
-593.5895,46.310146,-27.157824,48.550255,-20.966433,-7.954427,-27.046274,-17.771564,-8.810317,-4.408882,9.618769,32.607666,Violin
-458.5268,17.6337,-13.894774,17.997494,-12.314943,-8.633724,-8.900525,0.64604986,-17.101341,-10.272606,0.86089116,16.97022,Violin
-596.09827,-9.169263,10.545285,29.412176,2.6856952,-3.2401357,-10.310664,-4.8002706,-15.1367,10.968348,9.281293,19.945345,Violin
-561.87103,9.1540575,-5.9169855,25.586195,-10.467001,-3.560662,3.455493,2.1858697,-19.518627,-12.316586,-0.92103434,12.345256,Violin
-435.1767,27.142572,-25.285282,39.1115,-30.27021,-11.489082,-28.612637,-14.81953,-7.490466,-2.111928,7.545356,19.55397,Violin
-661.7139,28.287355,-3.39953,29.538382,-11.184005,0.81997204,9.323792,7.452243,-14.450801,-14.002947,-6.0165243,18.796751,Violin
-583.1925,12.315926,-4.5352097,37.30219,-9.918488,1.6049824,-16.180185,-7.7242155,-2.1792128,-3.2052455,4.59857,17.305452,Violin
-663.24133,1.4731444,7.0660553,38.296616,-0.49992856,2.3839889,-4.505676,-4.5636435,-15.251037,10.930619,2.0330007,19.92671,Violin
-529.565,30.488808,-22.542803,45.163532,-23.536709,-10.126068,-25.972355,-14.975971,-6.7348194,-6.5581317,9.331978,26.93093,Violin
-587.1939,27.59383,-6.0368314,26.80743,-10.333574,-6.578104,-3.1821034,9.762798,-12.637895,-10.653125,-1.5520633,24.518475,Violin
