scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,label_list
-1.4830049e-07,7.795706e-08,2.2236775e-07,4.039192e-07,6.119874e-07,8.0751e-07,9.787854e-07,1.2372947e-06,1.4025615e-06,1.7010805e-06,French horn
-3.0827245e-09,1.2630069e-09,4.3919663e-09,8.28132e-09,1.2425455e-08,1.6381383e-08,2.0410063e-08,2.705794e-08,3.112311e-08,3.6928757e-08,French horn
-1.2481286e-09,6.3895983e-10,8.0828405e-10,7.535939e-09,5.585026e-09,-5.227569e-09,-1.4727366e-08,-1.6472688e-08,-1.4228895e-08,-3.411291e-09,French horn
1.3099692e-10,-1.4062021e-11,-6.617653e-11,-4.2405846e-10,-6.407476e-10,-1.0693704e-09,-1.3954654e-09,-1.4640228e-09,-1.3214085e-09,-1.2533158e-09,French horn
-5.120777e-07,2.2493452e-07,6.123996e-07,1.1605266e-06,1.8243895e-06,2.372516e-06,2.8518898e-06,3.7882699e-06,4.3228397e-06,5.4481447e-06,French horn
8.5841157e-07,-4.1727057e-07,-1.1709634e-06,-2.183193e-06,-3.4281088e-06,-4.700413e-06,-6.0997945e-06,-8.115989e-06,-9.9555855e-06,-1.2302937e-05,French horn
-9.042978e-08,4.554287e-08,1.269283e-07,2.3475162e-07,3.5313164e-07,4.539008e-07,5.614382e-07,7.305153e-07,9.3363525e-07,1.2222762e-06,French horn
2.7916678e-07,-1.0550485e-07,-2.8801912e-07,-5.662193e-07,-1.7440613e-06,-1.4184202e-06,1.9813883e-06,5.301071e-06,7.3043807e-06,6.087938e-06,French horn
3.5348148e-07,-1.6621347e-07,-4.5826698e-07,-8.29613e-07,-1.2374593e-06,-1.6066557e-06,-2.06268e-06,-2.884853e-06,-3.7168872e-06,-4.874332e-06,French horn
-5.723349e-07,2.9880778e-07,8.44578e-07,1.5317062e-06,2.3364041e-06,3.134243e-06,4.001324e-06,5.1661827e-06,6.3685857e-06,7.733481e-06,French horn
-1.96638e-07,9.493126e-08,2.6113992e-07,4.6268008e-07,7.010743e-07,9.353782e-07,1.1946545e-06,1.6589228e-06,2.038177e-06,2.6306454e-06,French horn
-1.8348713e-07,1.0306272e-07,2.9620787e-07,5.2927066e-07,8.0039564e-07,1.0750612e-06,1.3408301e-06,1.6866697e-06,2.004098e-06,2.4085955e-06,French horn
4.4070532e-07,-1.6562628e-07,-4.3708545e-07,-8.468186e-07,-1.3645514e-06,-1.7284747e-06,-1.9992654e-06,-2.7518272e-06,-3.0930535e-06,-4.1669014e-06,French horn
-7.0601845e-07,3.7414665e-07,1.0621685e-06,1.9398656e-06,2.9320488e-06,3.8810135e-06,5.0632625e-06,6.825963e-06,8.821561e-06,1.0531253e-05,French horn
1.5731185e-08,-7.326908e-09,-2.1181672e-08,-4.0113836e-08,-6.167451e-08,-8.035835e-08,-9.9047355e-08,-1.28893e-07,-1.5228434e-07,-1.8766261e-07,French horn
-1.6802514e-07,5.4276356e-08,1.3678212e-07,2.736263e-07,4.5612518e-07,5.906855e-07,7.047508e-07,1.0955786e-06,1.2474493e-06,1.8160426e-06,French horn
-2.1039725e-07,5.8189634e-08,2.462243e-07,5.0576955e-07,7.8914496e-07,1.1259968e-06,1.5268067e-06,2.4092994e-06,2.9576233e-06,2.91644e-06,French horn
-2.4554062e-08,1.3398205e-08,3.8090842e-08,7.114892e-08,1.098716e-07,1.4615318e-07,1.7667577e-07,2.1587479e-07,2.4094666e-07,2.769919e-07,French horn
-1.4085084e-09,1.0556266e-09,3.0169516e-09,4.8808766e-09,6.258754e-09,7.744196e-09,1.0523297e-08,1.3925935e-08,1.784253e-08,2.0211859e-08,French horn
2.0431102e-07,-1.4146528e-07,-4.0739783e-07,-7.2394045e-07,-1.0988255e-06,-1.5390219e-06,-2.0282075e-06,-2.4588771e-06,-3.0823587e-06,-3.4301574e-06,French horn
-7.476343e-07,3.6757908e-07,1.0443589e-06,1.9343277e-06,3.0137724e-06,3.9963907e-06,4.9454934e-06,6.2868035e-06,7.776312e-06,1.0005517e-05,French horn
-7.973157e-08,4.4204018e-08,1.2392421e-07,2.2220945e-07,3.3668414e-07,4.503075e-07,5.64618e-07,7.0718795e-07,8.3406593e-07,9.795559e-07,French horn
-2.0520879e-07,8.8858606e-08,2.44012e-07,4.701818e-07,7.4269207e-07,9.702657e-07,1.1780093e-06,1.5715839e-06,1.8205654e-06,2.3276814e-06,French horn
-3.5311584e-07,1.6871147e-07,4.6423605e-07,8.493919e-07,1.2974879e-06,1.6501756e-06,1.9223505e-06,2.4450162e-06,2.6488947e-06,3.0671406e-06,French horn
-4.7305875e-09,3.744314e-10,-9.599068e-10,-1.8758677e-09,-2.0896422e-10,3.052314e-10,4.340306e-09,2.6839892e-08,5.648704e-08,1.0710698e-07,French horn
-3.5609898e-07,2.259298e-07,6.692995e-07,1.2107778e-06,1.806717e-06,2.5272584e-06,3.5408384e-06,4.5680313e-06,5.828179e-06,6.462896e-06,French horn
-2.6579987e-09,1.4950531e-09,4.3245327e-09,7.668911e-09,1.1264846e-08,1.5088576e-08,1.8728732e-08,2.3310271e-08,2.746038e-08,3.2014032e-08,French horn
-1.9009339e-07,2.2457021e-08,5.012945e-08,1.4324641e-07,2.9369673e-07,3.8004205e-07,5.277894e-07,1.0907847e-06,1.2979218e-06,1.8715643e-06,French horn
-2.420139e-07,4.966444e-08,1.0843981e-07,3.053801e-07,5.725587e-07,6.821446e-07,8.469854e-07,1.5014884e-06,1.8339935e-06,2.5632878e-06,French horn
4.9795085e-07,-2.9533985e-07,-8.507083e-07,-1.5159485e-06,-2.2611725e-06,-3.0464576e-06,-3.905121e-06,-4.8662723e-06,-5.9190916e-06,-6.8036425e-06,French horn
-3.242805e-09,1.6388509e-09,4.7435793e-09,8.498275e-09,1.318413e-08,1.722207e-08,2.0899604e-08,2.680142e-08,3.0244152e-08,3.610702e-08,French horn
-2.6568634e-07,1.3563134e-07,3.8679366e-07,7.136599e-07,1.0924878e-06,1.439478e-06,1.7627615e-06,2.2446625e-06,2.5566699e-06,2.9857786e-06,French horn
3.43169e-08,3.7092104e-08,1.3576427e-07,2.1072721e-07,2.576178e-07,2.9695522e-07,1.3388787e-07,-4.1509213e-07,-3.809188e-07,-1.2181953e-07,French horn
9.6003696e-08,-2.4042308e-08,-4.684933e-08,-9.6364964e-08,-5.958686e-07,-1.063868e-06,2.9786054e-07,3.1728714e-06,6.9322564e-06,9.08037e-06,French horn
-1.7456358e-07,6.6762176e-08,1.8712889e-07,3.5930404e-07,5.886099e-07,6.410562e-07,6.4863707e-07,8.764197e-07,6.141115e-07,9.25577e-07,French horn
-1.7713815e-09,7.9821283e-10,2.3563176e-09,4.4611017e-09,6.7897172e-09,8.747027e-09,1.0025337e-08,1.2872682e-08,1.3406319e-08,1.6525703e-08,French horn
-2.5426287e-08,1.28364075e-08,3.459358e-08,6.067214e-08,9.39575e-08,1.2485275e-07,1.5091635e-07,2.0142838e-07,2.2826107e-07,2.9038134e-07,French horn
-5.483045e-07,2.3306191e-07,6.511314e-07,1.2461439e-06,1.992176e-06,2.6487312e-06,3.3371691e-06,4.4931203e-06,5.659203e-06,7.4862774e-06,French horn
-3.9089776e-10,2.16723e-10,3.9009265e-10,1.3242245e-09,2.1580095e-09,2.457002e-09,2.5970248e-09,3.0664036e-09,3.845599e-09,5.079291e-09,French horn
-1.3768603e-09,6.5425e-10,1.7604421e-09,3.7193642e-09,6.1549987e-09,7.851109e-09,9.107401e-09,1.1539625e-08,1.34360665e-08,1.6447151e-08,French horn
