chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,label_list
0.068469495,0.2659568,0.05152084,0.007435935,0.024887338,0.3555374,0.99571216,0.33235437,0.01945696,0.012378608,0.028291313,0.013964033,French horn
0.19173427,0.024139669,0.004504304,0.010964774,0.26379263,1.0,0.16135626,0.003089301,0.011127444,0.033423286,0.0026550482,0.034665372,French horn
0.40518633,0.6056766,0.3273185,0.9159565,0.3506238,0.5038555,0.44408754,0.938038,0.2745533,0.3269161,0.92844296,0.34320182,French horn
0.06412333,0.038709175,0.05434525,0.36308882,0.9636902,0.34102276,0.084351294,0.069518946,0.074855186,0.070843816,0.08169534,0.16076012,French horn
0.08062648,0.08699286,0.3680655,0.991742,0.2765155,0.06742252,0.052431,0.05197759,0.055222638,0.062760666,0.075458795,0.07332597,French horn
0.1663153,0.00993151,0.024139395,0.2911272,0.9991722,0.22112955,0.009938156,0.025906207,0.079775125,0.010468744,0.19557823,0.9226218,French horn
0.2126093,0.026111431,0.024995854,0.27466547,0.9457665,0.30242985,0.0214006,0.02131222,0.053779732,0.011340988,0.14711739,0.8551441,French horn
0.056363303,0.05877205,0.32108304,0.96732324,0.29970556,0.09750567,0.0830509,0.101849794,0.05183977,0.2219124,0.8203397,0.19517769,French horn
0.063019834,0.06189906,0.0749484,0.3552214,0.9859666,0.24906513,0.085023925,0.07895535,0.076356165,0.0707477,0.0663918,0.07988676,French horn
0.18020044,0.081516996,0.0775099,0.28078896,0.96600133,0.30949488,0.10702052,0.08545073,0.113507435,0.0716436,0.17026933,0.62933785,French horn
0.2580046,0.20620933,0.26550806,0.40041968,0.89812934,0.35565165,0.22055227,0.40403867,0.74888337,0.29637176,0.3618557,0.68116635,French horn
0.23114853,0.6785483,0.34125257,0.15535265,0.19927713,0.30098736,0.94459367,0.4932608,0.1601758,0.17893152,0.38412708,0.16478685,French horn
0.038251676,0.03686558,0.042340085,0.044688396,0.22241196,0.9479813,0.1709381,0.049233194,0.04643651,0.059450768,0.05040793,0.041450042,French horn
0.26023802,0.15669455,0.21076155,0.3362621,0.9574819,0.3093144,0.1578549,0.33443835,0.80241805,0.19860639,0.2607603,0.70986736,French horn
0.15813589,0.090086885,0.090354145,0.1059608,0.39140937,0.97485393,0.33225495,0.08564702,0.08103112,0.08159887,0.085137635,0.096461385,French horn
0.76885843,0.14173914,0.010691333,0.024459576,0.29591125,0.99124837,0.2297499,0.008737674,0.014538915,0.043918192,0.012555769,0.15822782,French horn
0.07884932,0.090146445,0.38471,0.97303313,0.36941212,0.122901365,0.09540099,0.08981376,0.08404641,0.16099866,0.45388806,0.1456709,French horn
0.31247428,0.8401576,0.3098715,0.12975922,0.16237697,0.37620822,0.9671394,0.374854,0.14549947,0.21465775,0.37955624,0.12429655,French horn
0.031973273,0.024051493,0.022618717,0.030718775,0.22140564,0.9753766,0.16761424,0.036566824,0.048213217,0.057576388,0.04448549,0.035390597,French horn
0.15226485,0.45129153,0.1276456,0.076714195,0.08221642,0.319486,0.979567,0.26341808,0.09050246,0.07227822,0.10894194,0.07306556,French horn
0.1360318,0.041274317,0.016622975,0.038062606,0.3868198,0.99074185,0.3623265,0.029317124,0.018293187,0.034118306,0.022966186,0.049491394,French horn
0.08365092,0.07142489,0.06646701,0.055065412,0.04623118,0.044921827,0.20277181,0.95877683,0.31282955,0.07356789,0.07283138,0.08336425,French horn
0.06401623,0.06228039,0.06586561,0.067294456,0.22083329,0.96287423,0.32830742,0.034921765,0.036141686,0.040955115,0.04890317,0.060369074,French horn
0.08048863,0.0808673,0.10783704,0.08749418,0.0642364,0.081894964,0.29066572,0.9792483,0.53013444,0.120211296,0.091416284,0.07240616,French horn
0.3233556,0.38111532,0.48910028,0.9587282,0.38024402,0.29048628,0.4342792,0.73031306,0.2364376,0.4178172,0.86538845,0.31344226,French horn
0.39332637,0.33250394,0.63191116,0.29273742,0.957749,0.45584834,0.5621885,0.42152312,0.9032862,0.3569179,0.30893227,0.8196876,French horn
0.060325842,0.06236453,0.2329315,0.95167017,0.28483522,0.06643432,0.07020832,0.09997089,0.097146295,0.10832039,0.17427762,0.082099356,French horn
0.052441623,0.052892055,0.2728791,0.9865978,0.2928682,0.050607845,0.042337812,0.03836254,0.0372584,0.04435292,0.069417916,0.05542674,French horn
0.032165036,0.035196815,0.22922349,0.9801232,0.19043034,0.043706037,0.03418952,0.037033822,0.04077681,0.04176078,0.041734185,0.03754751,French horn
0.12780581,0.18696134,0.56156975,0.29929715,0.14194945,0.17187485,0.3276668,0.96248275,0.49205717,0.15166958,0.141103,0.24447787,French horn
