scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,label_list
-1.57349e-11,2.0514888e-11,5.483409e-11,-6.278165e-12,-2.5855198e-11,-1.5260843e-11,7.5111185e-12,6.498937e-11,1.2165244e-10,2.2616026e-10,Bassoon
-1.4537239e-11,2.4113836e-11,3.521492e-11,-1.7395078e-11,-9.945396e-11,-3.1372638e-10,-1.0361174e-09,-1.2784335e-09,-1.426541e-09,-7.65687e-10,Bassoon
-2.4043934e-13,-6.161585e-12,-6.324395e-12,1.6746167e-11,1.3135001e-10,1.5237792e-10,1.4690184e-10,1.0229931e-10,1.5197721e-10,2.3842567e-10,Bassoon
-5.030633e-13,-4.6820325e-12,1.5831453e-10,1.1297774e-10,2.2401958e-10,-6.6422125e-11,-5.16388e-10,-3.8524348e-10,7.967119e-10,1.1959419e-09,Bassoon
1.40000485e-11,-2.6825788e-11,-3.364861e-11,-3.5393393e-11,1.477444e-11,2.274377e-11,3.3974303e-11,-1.8045435e-11,5.175759e-11,6.044678e-11,Bassoon
-7.0598616e-13,-2.5227827e-11,9.573446e-13,9.109604e-11,1.245239e-10,6.9021996e-11,9.4660765e-11,1.6771322e-10,1.5434777e-10,-5.8111443e-11,Bassoon
-3.0563884e-13,-1.605364e-11,-2.2289359e-13,-5.2800863e-12,-1.6481938e-12,-2.3613417e-11,-1.3082314e-10,-1.3048262e-10,-1.5798565e-10,6.533392e-11,Bassoon
-7.484073e-13,-2.999002e-11,1.6747817e-11,6.0094076e-11,6.379935e-11,-7.932577e-11,-2.2182954e-10,-1.812587e-10,-6.947935e-11,-4.646129e-11,Bassoon
5.259409e-13,1.9921873e-11,3.0751825e-12,-3.9571936e-11,-5.0474923e-11,-7.291026e-12,-2.1509235e-12,-3.900054e-11,-4.702949e-11,-5.328524e-11,Bassoon
1.29590115e-11,-5.808065e-12,-2.6242652e-11,-5.1039013e-11,3.1244268e-11,-5.446268e-11,-1.7450902e-10,-2.0901245e-10,8.473964e-11,4.467719e-10,Bassoon
1.4967461e-11,-2.1459336e-11,-4.006826e-11,-4.9151648e-11,-7.961267e-11,-6.7154594e-11,-7.809679e-12,4.287015e-11,8.454192e-11,8.714743e-11,Bassoon
-1.4817415e-11,2.4284626e-11,7.9551386e-11,6.5318306e-11,-7.237046e-11,-3.086692e-10,-8.2714097e-10,-1.0490799e-09,-1.2218369e-09,-6.902757e-10,Bassoon
1.7412665e-11,-1.8221532e-11,-3.966391e-11,-1.1901266e-10,-2.426419e-10,-1.0093965e-10,4.9889745e-11,5.730335e-11,-4.506327e-10,-6.644185e-10,Bassoon
1.4548593e-11,-1.1151388e-11,-7.253402e-11,-3.835219e-11,-2.3612813e-11,-9.595644e-12,3.059579e-11,5.702098e-11,1.8779821e-10,2.7696048e-10,Bassoon
-4.620769e-13,-9.7791055e-12,-1.0614874e-11,8.869199e-11,2.5682784e-10,2.2317684e-10,1.6256128e-10,1.0873963e-10,2.6696362e-10,1.4777231e-10,Bassoon
-1.5652563e-11,6.0171714e-13,4.2935756e-11,8.638013e-11,1.3497625e-10,1.6749714e-10,2.4298405e-10,2.8219366e-10,2.9376773e-10,1.9858198e-10,Bassoon
1.6570665e-11,-1.3154901e-11,-8.313207e-11,-6.14634e-11,-3.036652e-11,-7.933438e-12,5.932635e-11,1.2884366e-10,1.8348259e-10,1.2219632e-10,Bassoon
-6.146871e-13,-1.0851476e-15,1.0077073e-10,7.7469565e-11,1.7544143e-10,3.933992e-10,3.3373515e-10,-3.3480524e-13,4.3737342e-10,7.337888e-10,Bassoon
1.5040887e-11,-3.75183e-12,6.0418795e-11,-8.76243e-11,-2.1162694e-10,4.3000534e-11,4.1964526e-10,3.262377e-11,-6.938222e-10,-1.4011325e-09,Bassoon
